title,date,MH_url,epar_url,variation_url,Product Name,INN,Initial Approval,Cancer,Orphan,Therapy class,Therapy Area,Marketing authorisation holder,Full Indication,New indication HTML,New indication PDF,Removed indication HTML,CHMP Opinion Date,Decision date,EMA date for extension,Search Result in NICE,NICE_url
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 14-17 October 2024,18 October 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-14-17-october-2024,https://www.ema.europa.eu/en/medicines/human/EPAR/alhemo,['https://www.ema.europa.eu/en/medicines/human/variation/alhemo'],alhemo,Concizumab,Initial approval,No,N/A,B02,Blood,Novo Nordisk A/S,"Alhemo: Alhemo is indicated for routine prophylaxis of bleeding in patients with haemophilia A (congenital factor VIII deficiency) with FVIII inhibitors and of 12 years of age or more, and haemophilia B (congenital factor IX deficiency) with FIX inhibitors and of 12 years of age or more.",N/A,N/A,N/A,17 October 2024,N/A,N/A,Yes,https://www.nice.org.uk/search?q=Concizumab
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 14-17 October 2024,18 October 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-14-17-october-2024,https://www.ema.europa.eu/en/medicines/human/EPAR/fluad,['https://www.ema.europa.eu/en/medicines/human/variation/fluad'],fluad,"Influenza vaccine (surface antigen, inactivated, adjuvanted)",Initial approval,No,N/A,J07,Infectives,Seqirus Netherlands B.V.,Fluad: Prophylaxis of influenza in adults 50 years of age and older.,N/A,N/A,N/A,17 October 2024,N/A,N/A,N/A,"https://www.nice.org.uk/search?q=Influenza vaccine (surface antigen, inactivated, adjuvanted)"
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 14-17 October 2024,18 October 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-14-17-october-2024,https://www.ema.europa.eu/en/medicines/human/EPAR/flucelvax,['https://www.ema.europa.eu/en/medicines/human/variation/flucelvax'],flucelvax,"Influenza vaccine (surface antigen, inactivated, prepared in cell cultures)",Initial approval,No,N/A,J07,Infectives,Seqirus Netherlands B.V.,Flucelvax: Prophylaxis of influenza in adults and children from 2 years of age.,N/A,N/A,N/A,17 October 2024,N/A,N/A,N/A,"https://www.nice.org.uk/search?q=Influenza vaccine (surface antigen, inactivated, prepared in cell cultures)"
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 14-17 October 2024,18 October 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-14-17-october-2024,https://www.ema.europa.eu/en/medicines/human/EPAR/korjuny,['https://www.ema.europa.eu/en/medicines/human/variation/korjuny'],korjuny,Catumaxomab,Initial approval,Yes,N/A,L01,Cancer,Lindis Biotech GmbH,"Korjuny: Korjuny is indicated for the intraperitoneal treatment of malignant ascites in adults with epithelial cellular adhesion molecule (EpCAM)-positive carcinomas, who are not eligible for further systemic anticancer therapy.",N/A,N/A,N/A,17 October 2024,N/A,N/A,N/A,https://www.nice.org.uk/search?q=Catumaxomab
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 14-17 October 2024,18 October 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-14-17-october-2024,https://www.ema.europa.eu/en/medicines/human/EPAR/siiltibcy,['https://www.ema.europa.eu/en/medicines/human/variation/siiltibcy'],siiltibcy,Mycobacterium tuberculosisderived antigens (rdESAT-6 / rCFP-10),Initial approval,No,N/A,N/A,N/A,N/A,"Siiltibcy: SIILTIBCY is indicated as a diagnostic aid for detection of Mycobacterium tuberculosis infection, including disease, in adults and children aged 28 days or older.",N/A,N/A,N/A,17 October 2024,N/A,N/A,N/A,https://www.nice.org.uk/search?q=Mycobacterium tuberculosisderived antigens (rdESAT-6 / rCFP-10)
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 14-17 October 2024,18 October 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-14-17-october-2024,https://www.ema.europa.eu/en/medicines/human/EPAR/wainzua,['https://www.ema.europa.eu/en/medicines/human/variation/wainzua'],wainzua,Eplontersen,Initial approval,No,N/A,N07,CNS,N/A,Wainzua: Wainzua is indicated for the treatment of hereditary transthyretin-mediated amyloidosis (ATTRv) in adult patients with stage 1 or stage 2 polyneuropathy.,N/A,N/A,N/A,17 October 2024,N/A,N/A,Yes,https://www.nice.org.uk/search?q=Eplontersen
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 14-17 October 2024,18 October 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-14-17-october-2024,https://www.ema.europa.eu/en/medicines/human/EPAR/cerdelga,['https://www.ema.europa.eu/en/medicines/human/variation/cerdelga'],cerdelga,Eliglusta,Extension,No,Yes,A16,Alimentary,N/A,"Cerdelga: Cerdelga is indicated for the long-term treatment of adult patients with Gaucher disease type 1 (GD1), who are CYP2D6 poor metabolisers (PMs), intermediate metabolisers (IMs) or extensive metabolisers (EMs).","Cerdelga: Paediatric population (from 6 to < 18 years of age) weighing ≥ 15 kg, Cerdelga is indicated for paediatric patients with GD1 who are 6 years and older with a minimum body weight of 15 kg, who are stable on enzyme replacement therapy (ERT), and who are CYP2D6 PMs, IMs or EMs.","Cerdelga: Update of section 4.8 of the SmPC in order to add cough to the list of adverse drug reactions (ADRs) with frequency Common based on the cumulative review of clinical trial data, MAH global pharmacovigilance database and literature search.",I don't know.,17 October 2024,30/07/2024,N/A,Yes,https://www.nice.org.uk/search?q=Eliglusta
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 14-17 October 2024,18 October 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-14-17-october-2024,https://www.ema.europa.eu/en/medicines/human/EPAR/hepcludex,['https://www.ema.europa.eu/en/medicines/human/variation/hepcludex'],hepcludex,Bulevirtide,Extension,No,Yes,J05,Infectives,N/A,Hepcludex: Hepcludex is indicated for the treatment of chronic hepatitis delta virus (HDV) infection in plasma (or serum) HDV-RNA positive adult patients with compensated liver disease.,Hepcludex: and paediatric patients 3 years of age and older weighing at least 10 kg,"Hepcludex: Update of section 4.4 and 4.8 of the SmPC to move the warnings for the ADRs ‘Increase of bile salts’ and ‘Administration site reactions’, and addition of a new ADR: hypersensitivity reactions (including anaphylactic reaction).",I don't know.,17 October 2024,18/07/2023,18/07/2023,Yes,https://www.nice.org.uk/search?q=Bulevirtide
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 14-17 October 2024,18 October 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-14-17-october-2024,https://www.ema.europa.eu/en/medicines/human/EPAR/kevzara,['https://www.ema.europa.eu/en/medicines/human/variation/kevzara'],kevzara,Sarilumab,Extension,No,No,L04,Immuo-mod,N/A,"Kevzara: Kevzara in combination with methotrexate (MTX) is indicated for the treatment of moderately to severely active rheumatoid arthritis (RA) in adult patients who have responded inadequately to, or who are intolerant to one or more disease modifying anti rheumatic drugs (DMARDs). Kevzara can be given as monotherapy in case of intolerance to MTX or when treatment with MTX is inappropriate.","Kevzara: Rheumatoid arthritis, Polymyalgia rheumatica",Kevzara: I don't know.,I don't know.,17 October 2024,21/08/2024,N/A,Yes,https://www.nice.org.uk/search?q=Sarilumab
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 14-17 October 2024,18 October 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-14-17-october-2024,https://www.ema.europa.eu/en/medicines/human/EPAR/kisqali,['https://www.ema.europa.eu/en/medicines/human/variation/kisqali'],kisqali,Ribociclib,Extension,Yes,No,L01,Cancer,N/A,"Kisqali: Kisqali is indicated for the treatment of women with hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative locally advanced or metastatic breast cancer in combination with an aromatase inhibitor or fulvestrant as initial endocrine-based therapy, or in women who have received prior endocrine therapy. In pre- or perimenopausal women, the endocrine therapy should be combined with a luteinising hormone-releasing hormone (LHRH) agonist.",N/A,N/A,N/A,17 October 2024,04/07/2024,N/A,Yes,https://www.nice.org.uk/search?q=Ribociclib
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 14-17 October 2024,18 October 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-14-17-october-2024,https://www.ema.europa.eu/en/medicines/human/EPAR/tevimbra,"['https://www.ema.europa.eu/en/medicines/human/variation/tevimbra-0', 'https://www.ema.europa.eu/en/medicines/human/variation/tevimbra']",tevimbra,Tislelizumab,Extension,Yes,No,L01,Cancer,N/A,"Tevimbra: Tevimbra in combination with pemetrexed and platinum containing chemotherapy is indicated for the first-line treatment of adult patients with non-squamous NSCLC whose tumours have PD-L1 expression on ≥50% of tumour cells with no EGFR or ALK positive mutations and who have locally advanced NSCLC and are not candidates for surgical resection or platinum-based chemoradiation, or metastatic NSCLC. Tevimbra in combination with carboplatin and either paclitaxel or nab-paclitaxel is indicated for the first-line treatment of adult patients with squamous NSCLC who have locally advanced NSCLC and are not candidates for surgical resection or platinum-based chemoradiation, or metastatic NSCLC. Tevimbra as monotherapy is indicated for the treatment of adult patients with locally advanced or metastatic NSCLC after prior platinum-based therapy. Patients with EGFR mutant or ALK positive NSCLC should also have received targeted therapies before receiving tislelizumab. Tevimbra as monotherapy is indicated for the treatment of adult patients with unresectable, locally advanced or metastatic OSCC after prior platinum-based chemotherapy.","Tevimbra: Tevimbra, in combination with platinum-based chemotherapy, is indicated for the first-line treatment of adult patients with unresectable, locally advanced or metastatic OSCC whose tumours express PD‑L1 with a tumour area positivity (TAP) score ≥ 5% (see section 5.1)., Tevimbra: Tevimbra, in combination with platinum and fluoropyrimidine-based chemotherapy, is indicated for the first-line treatment of adult patients with HER-2-negative locally advanced unresectable or metastatic gastric or gastroesophageal junction (G/GEJ) adenocarcinoma whose tumours express PD‑L1 with a tumour area positivity (TAP) score ≥ 5%","Tevimbra: Extension of indication to include treatment of adult patients with non-small cell lung cancer (NSCLC) in combination and as monotherapy for TEVIMBRA, based on results from studies BGB-A317-303, BGB-A317-304, BGB-A317-307 and BGB A317-206.","I don't know., I don't know.",17 October 2024,08/07/2024,08/07/2024,Yes,https://www.nice.org.uk/search?q=Tislelizumab
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 14-17 October 2024,18 October 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-14-17-october-2024,https://www.ema.europa.eu/en/medicines/human/EPAR/yselty,['https://www.ema.europa.eu/en/medicines/human/variation/yselty'],yselty,Linzagolix choline,Extension,No,No,H01,Hospital,N/A,Yselty: Yselty is indicated for the treatment of moderate to severe symptoms of uterine fibroids in adult women of reproductive age.,N/A,Yselty: I don't know.,N/A,17 October 2024,28/04/2023,N/A,N/A,https://www.nice.org.uk/search?q=Linzagolix choline
